,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IA-MG243-S-A.jpg,933,152,1246,443,1201,1126,1098,1365,541,1494,401,1246,90,605,953,220
IA-MG245-E-B.jpg,648,35,1118,1814,1596,1369,1519,774,1280,243,1004,149,849,79,706,74
IA-MG245-S-B.jpg,435,270,602,291,869,299,1142,488,1343,581,1254,1328,1224,1688,1154,1842
IA-MG245-W-A.jpg,621,67,742,67,845,59,997,137,1176,158,1371,345,1356,1048,1203,1348
IL-MG603-N-A.jpg,1045,50,2048,419,2109,1845,1663,2154,1581,2468,1602,2653,1061,2566,681,2273
IL-MG604-N-B.jpg,728,123,817,144,766,133,887,172,1038,262,1334,1054,978,1226,1050,1401
IL-SF001-E-B.jpg,871,82,1168,209,1466,444,1365,1021,1006,1210,448,1188,338,982,512,173
IL-SF001-W-A.jpg,772,120,1190,160,1466,397,1468,862,1212,1387,354,1425,177,895,117,527
IL-SF003-E-A.jpg,663,86,953,239,1181,573,1074,1157,273,1547,161,1255,132,453,390,186
IL-SF003-W-A.jpg,707,65,857,36,987,93,1105,123,1251,183,1422,341,1693,572,1461,1267
IN-MG631-E-B.jpg,874,88,1018,1704,1248,1463,406,1700,109,1226,263,676,485,288,622,177
MB-MG513-W-A.jpg,633,52,899,111,1259,343,1139,1075,948,1342,446,1345,329,1135,135,542
MB-MG529-S-B.jpg,674,7,737,29,886,75,1019,143,1164,296,1294,541,1198,1087,1122,1367
MB-MG529-W-B.jpg,555,5,935,1188,1038,825,1031,377,900,263,787,181,691,142,630,78
MB-MG530-W-B.jpg,458,194,615,256,720,345,884,552,970,813,827,1256,718,1449,348,1384
MB-SD004-E-B.jpg,572,325,631,322,849,392,929,832,885,1136,514,1135,435,877,332,494
MB-SD004-S-A.jpg,612,311,913,458,470,430,736,341,385,608,406,904,946,988,893,1345
MB-SD004-W-A.jpg,576,179,640,230,773,230,999,397,957,870,877,1121,497,1099,335,916
MB-SD005-N-B.jpg,522,126,614,176,778,269,963,434,887,842,836,1096,393,1126,234,817
MB-SD005-S-B.jpg,582,176,696,212,934,370,972,582,924,855,852,1097,456,1258,418,1146
MN-MG788S-A.jpg,1283,105,1434,282,1570,368,1719,519,1976,690,2188,1527,1898,1790,837,2291
MN-MG788W-B.jpg,1394,245,1486,408,1615,527,1761,670,1843,1008,1513,1211,1349,1692,1258,1967
MN-MG790W-B.jpg,747,419,894,496,1146,642,1215,887,1147,1120,995,1398,917,1531,704,1587
MN-SD001-S-A.jpg,685,57,856,137,1037,269,1239,647,1010,975,305,1020,171,624,249,336
MN-SD002-E-B.jpg,1107,135,1191,176,1278,206,1454,252,1694,382,1655,903,1594,1192,1129,1310
MO-MG402-N-B.jpg,661,592,799,644,895,755,1009,1007,1001,1234,905,1565,844,1841,486,1440
MO-MG403-E-B.jpg,928,105,1246,189,1503,740,1007,1386,940,1670,506,1520,286,1237,205,495
MO-MG404-N-A.jpg,620,12,718,38,1107,320,1195,503,1108,1118,973,1475,410,1577,219,1301
MO-MG404-N-B.jpg,707,22,975,89,1185,263,1117,616,1280,1234,1028,1455,959,1620,457,1639
MO-MG404-S-A.jpg,704,125,611,100,787,130,980,196,1285,554,1103,1074,1006,1480,845,1713
MO-MG404-W-A.jpg,783,18,1050,535,357,66,77,496,106,1109,285,1566,427,1885,884,1793
OH-MG805E-A.jpg,683,140,1511,414,1189,331,922,193,519,349,335,697,697,1396,1320,1348
OH-MG805W-B.jpg,548,165,632,175,785,217,1071,388,1329,338,1334,1003,1345,1472,1226,1606
