,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
MB-MG530-W-B.jpg,538,1112,514,1530,538,960,528,914,466,360,528,1503,515,720,482,484,481,555,530,1387,539,1389,547,1145,1,1,1,1,1,1,1,1,1,1
OH-MG805W-B.jpg,991,1451,606,425,616,428,1012,1658,850,953,716,665,1000,1650,803,888,981,1468,688,627,895,1096,1007,1740,1022,1751,914,1111,1,1,1,1,1,1
MB-SD005-N-B.jpg,627,1302,636,1296,583,640,550,384,598,851,617,1117,542,367,570,598,624,1114,606,871,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MO-MG403-E-B.jpg,722,1782,711,1756,748,1545,736,1539,849,733,819,810,766,1184,784,1165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MN-MG790W-B.jpg,709,1191,848,1631,689,1080,860,1622,688,906,789,1416,819,1524,701,860,733,1220,779,1343,835,1526,698,1046,1,1,1,1,1,1,1,1,1,1
MB-MG529-W-B.jpg,559,444,588,986,557,194,552,233,694,1457,568,598,637,1277,579,752,690,1480,639,1232,595,940,565,380,572,553,571,778,1,1,1,1,1,1
MO-MG404-N-A.jpg,651,786,704,1625,653,1160,645,856,678,1510,690,1437,618,622,690,1676,611,164,671,1079,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MB-SD004-S-A.jpg,700,856,732,1489,650,615,740,1272,718,904,721,1501,647,542,723,1372,729,1110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MN-SD002-E-B.jpg,1349,1274,1297,921,1334,1235,1345,1378,1222,594,1317,1005,1356,1395,1276,743,1205,501,1185,451,1139,282,1170,373,1,1,1,1,1,1,1,1,1,1
MN-SD001-S-A.jpg,661,904,653,1354,672,871,663,677,664,1351,658,1141,669,1098,677,560,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
