filename,count,classes,locations
IA-MG243-S-A.jpg,8,"[2, 2, 2, 2, 2, 2, 2, 2]","[(1246, 401), (1494, 541), (189, 679), (1365, 1098), (1126, 1201), (605, 90), (443, 1246), (220, 953)]"
IA-MG243-S-B.jpg,14,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(692, 93), (470, 968), (1397, 494), (286, 169), (850, 972), (258, 690), (171, 514), (1145, 996), (189, 313), (609, 273), (451, 101), (1266, 393), (968, 114), (579, 152)]"
IA-MG243-W-A.jpg,12,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1231, 396), (227, 479), (1425, 574), (87, 801), (1286, 1058), (1556, 703), (236, 1111), (954, 1298), (158, 903), (1453, 988), (617, 92), (172, 539)]"
IA-MG244-N-A.jpg,13,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1426, 548), (220, 908), (101, 681), (1222, 1252), (389, 1123), (1025, 118), (1642, 1175), (229, 445), (767, 249), (569, 418), (593, 1409), (1502, 1224), (1637, 733)]"
IA-MG244-S-B.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(204, 390), (377, 193), (183, 1033), (284, 1297), (175, 507), (150, 850), (1652, 1203), (1791, 713), (1279, 342), (1347, 1246), (94, 716), (125, 579), (1518, 643), (808, 1448), (637, 47)]"
IA-MG244-S-D.jpg,19,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(231, 391), (256, 1032), (1594, 1057), (110, 751), (1501, 426), (139, 568), (216, 864), (1465, 1036), (83, 655), (595, 95), (191, 508), (370, 218), (1057, 1242), (483, 1220), (1182, 58), (691, 1334), (1684, 672), (251, 909), (160, 809)]"
IA-MG244-W-A.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(563, 179), (1355, 282), (367, 183), (1133, 77), (718, 56), (332, 1343), (110, 586), (110, 344), (70, 464), (110, 1029), (1399, 1390), (113, 801), (1642, 1223), (188, 242), (1574, 570)]"
IA-MG244-W-B.jpg,14,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(221, 405), (164, 1179), (412, 1469), (683, 78), (1629, 1354), (938, 81), (1452, 1403), (83, 678), (329, 307), (1526, 489), (471, 179), (22, 872), (1191, 1535), (1658, 796)]"
IA-MG245-E-B.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1591, 337), (74, 706), (1814, 1118), (149, 1004), (814, 138), (1369, 1596), (243, 1280), (1802, 468), (774, 1519), (201, 517), (369, 458), (456, 311), (95, 606), (79, 849), (1985, 690)]"
IA-MG245-S-B.jpg,14,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(291, 602), (1804, 712), (852, 181), (435, 394), (1955, 790), (1842, 1154), (581, 1343), (619, 303), (989, 149), (1688, 1224), (1574, 534), (488, 1142), (1328, 1254), (299, 869)]"
IA-MG245-W-A.jpg,17,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(479, 269), (1621, 764), (885, 61), (1048, 1356), (67, 742), (59, 845), (1348, 1203), (350, 346), (622, 190), (1329, 477), (345, 1371), (137, 997), (1497, 1156), (229, 437), (158, 1176), (129, 519), (1519, 679)]"
IA-MG245-W-B.jpg,13,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1462, 1199), (185, 859), (548, 1370), (348, 1077), (68, 632), (1605, 710), (743, 211), (1398, 522), (1005, 85), (1180, 1223), (530, 357), (201, 398), (1601, 1153)]"
IL-MG603-E-B.jpg,14,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1226, 381), (1339, 734), (725, 985), (825, 258), (470, 618), (1166, 915), (1504, 657), (550, 541), (1479, 423), (500, 862), (585, 943), (565, 418), (449, 704), (936, 1010)]"
IL-MG603-S-A.jpg,17,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(837, 1752), (2080, 1500), (277, 945), (1452, 165), (2380, 675), (347, 602), (2097, 575), (655, 212), (1322, 1770), (385, 1285), (305, 1062), (2425, 1250), (502, 457), (2660, 1160), (632, 1547), (1137, 122), (282, 710)]"
IL-MG604-E-A.jpg,12,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(2356, 782), (1050, 463), (2512, 852), (330, 538), (195, 929), (1170, 123), (263, 1202), (1624, 1477), (560, 1581), (504, 296), (598, 1327), (1979, 572)]"
IL-MG604-N-A.jpg,17,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(232, 1283), (285, 809), (1726, 443), (2101, 648), (441, 607), (2288, 1345), (1234, 1697), (324, 1421), (2340, 846), (1697, 1460), (1050, 305), (186, 958), (1996, 1428), (160, 1161), (533, 1589), (678, 450), (800, 1699)]"
IL-MG604-N-B.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1800, 500), (1054, 1334), (2021, 627), (1226, 978), (1475, 325), (262, 1038), (150, 647), (144, 817), (133, 766), (1401, 1050), (933, 101), (1816, 1040), (315, 430), (142, 700), (172, 887)]"
IL-MG604-S-A.jpg,18,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1113, 123), (387, 833), (755, 176), (2051, 1312), (897, 1558), (2274, 1147), (2483, 1124), (305, 1120), (1487, 1583), (1799, 479), (330, 426), (2164, 867), (408, 385), (181, 635), (385, 1374), (2210, 693), (548, 293), (1586, 238)]"
IL-MG604-S-B.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1379, 887), (260, 535), (1617, 820), (965, 1040), (535, 960), (242, 587), (1667, 534), (237, 649), (252, 682), (905, 73), (381, 822), (294, 454), (400, 319), (1472, 358), (278, 736)]"
IL-MG604-W-B.jpg,15,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(225, 1089), (2523, 1200), (1001, 1591), (1822, 482), (144, 909), (1257, 180), (151, 801), (676, 261), (2218, 1358), (2268, 691), (496, 1298), (160, 746), (1586, 1500), (237, 600), (172, 989)]"
IL-SF001-E-B.jpg,8,"[2, 2, 2, 2, 2, 2, 2, 2]","[(444, 1466), (340, 209), (173, 512), (1021, 1365), (1210, 1006), (1188, 448), (982, 338), (209, 1168)]"
IL-SF001-N-A.jpg,8,"[2, 2, 2, 2, 2, 2, 2, 2]","[(178, 591), (577, 1529), (342, 1272), (399, 271), (1460, 1187), (1076, 1358), (978, 328), (1455, 468)]"
IL-SF001-N-B.jpg,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1072, 1163), (146, 962), (507, 1414), (1286, 1015), (253, 1200), (395, 107), (758, 293), (1105, 325), (177, 366)]"
IL-SF001-S-A.jpg,6,"[2, 2, 2, 2, 2, 2]","[(412, 149), (246, 1202), (216, 349), (1095, 1218), (945, 352), (1365, 1030)]"
IL-SF001-W-A.jpg,8,"[2, 2, 2, 2, 2, 2, 2, 2]","[(1425, 354), (1387, 1212), (160, 1190), (862, 1468), (527, 117), (895, 177), (233, 438), (397, 1466)]"
IL-SF001-W-B.jpg,8,"[2, 2, 2, 2, 2, 2, 2, 2]","[(183, 496), (336, 1343), (545, 76), (109, 819), (178, 1007), (288, 246), (941, 1166), (1162, 315)]"
IL-SF002-E-B.jpg,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[(343, 249), (220, 746), (421, 945), (1228, 800), (1138, 287), (766, 123), (184, 499), (1052, 893), (792, 1021)]"
IL-SF002-N-A.jpg,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","[(296, 580), (365, 434), (1270, 292), (882, 1012), (545, 965), (1129, 881), (379, 803), (1040, 360), (524, 173)]"
IL-SF002-S-A.jpg,10,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(1288, 311), (1171, 1119), (755, 1220), (948, 83), (185, 936), (218, 351), (1431, 915), (351, 1124), (71, 629), (506, 68)]"
