,0,1
IA-MG243-S-A.jpg,920,1919
IA-MG243-S-B.jpg,732,1625
IA-MG243-W-A.jpg,940,1754
IA-MG244-N-A.jpg,1070,1949
IA-MG244-S-B.jpg,1099,2319
IA-MG244-S-D.jpg,1041,2102
IA-MG244-W-A.jpg,933,2194
IA-MG244-W-B.jpg,1263,2219
IA-MG245-E-B.jpg,1004,2343
IA-MG245-S-B.jpg,1025,2230
IA-MG245-W-A.jpg,1019,1794
IA-MG245-W-B.jpg,1054,1913
IL-MG603-E-B.jpg,593,1741
IL-MG603-S-A.jpg,957,2987
IL-MG604-E-A.jpg,1028,2860
IL-MG604-N-A.jpg,1142,2635
IL-MG604-N-B.jpg,841,2306
IL-MG604-S-A.jpg,706,2547
IL-MG604-S-B.jpg,732,1913
IL-MG604-W-B.jpg,986,2854
IL-SF001-E-B.jpg,738,1523
IL-SF001-N-A.jpg,859,1894
IL-SF001-N-B.jpg,639,1653
IL-SF001-S-A.jpg,669,1526
IL-SF001-W-A.jpg,746,1876
IL-SF001-W-B.jpg,854,1595
IL-SF002-E-B.jpg,629,1583
IL-SF002-N-A.jpg,699,1567
IL-SF002-S-A.jpg,588,1695
IL-SF002-W-B.jpg,650,1591
IL-SF003-E-A.jpg,510,2012
IL-SF003-N-A.jpg,603,1895
IL-SF003-S-A.jpg,710,1750
IL-SF003-W-A.jpg,947,2026
IL-SF003-W-B.jpg,928,1943
IN-MG631-E-A.jpg,1086,2412
IN-MG631-E-B.jpg,778,2203
IN-MG631-N-A.jpg,1305,2942
IN-MG631-S-A.jpg,883,2549
IN-MG631-S-B.jpg,843,2386
IN-MG636-E-A.jpg,989,2248
IN-MG636-E-B.jpg,689,2009
IN-MG636-N-A.jpg,892,2340
IN-MG636-N-B.jpg,842,2116
IN-MG636-S-A.jpg,781,2344
IN-MG636-S-B.jpg,968,2342
IN-MG638-E-A.jpg,1137,2246
IN-MG638-E-B.jpg,754,2112
IN-MG638-N-A.jpg,665,1897
IN-MG638-N-B.jpg,886,2051
IN-MG638-S-A.jpg,977,2165
IN-MG638-S-B.jpg,1007,2019
IN-MG638-W-B.jpg,1064,2205
MB-MG513-E-B.jpg,727,1658
MB-MG513-N-B.jpg,842,1456
MB-MG513-S-B.jpg,905,1718
MB-MG513-W-A.jpg,657,1763
MB-MG513-W-B.jpg,674,1803
MB-MG516-E-A.jpg,558,1505
MB-MG516-E-B.jpg,655,1558
MB-MG516-S-A.jpg,722,1733
MB-MG516-S-B.jpg,605,1547
MB-MG516-W-A.jpg,890,1714
MB-MG517-E-A.jpg,402,1791
MB-MG517-E-B.jpg,696,1716
MB-MG517-N-B.jpg,619,1628
MB-MG517-S-A.jpg,591,1837
MB-MG517-S-B.jpg,530,1664
MB-MG517-W-B.jpg,450,1582
MB-MG518-N-A.jpg,699,1809
MB-MG518-N-B.jpg,397,1841
MB-MG518-S-A.jpg,510,1738
MB-MG518-S-B.jpg,582,1498
MB-MG518-W-B.jpg,346,1553
MB-MG528-E-A.jpg,897,2014
MB-MG528-E-B.jpg,568,1645
MB-MG528-S-A.jpg,715,1503
MB-MG528-S-B.jpg,772,1607
MB-MG528-W-A.jpg,745,1882
MB-MG529-E-A.jpg,815,1883
MB-MG529-E-B.jpg,801,1602
MB-MG529-N-A.jpg,718,1821
MB-MG529-S-B.jpg,883,1857
MB-MG529-W-A.jpg,553,1772
MB-MG529-W-B.jpg,749,1665
MB-MG530-E-A.jpg,563,1609
MB-MG530-E-B.jpg,656,1645
MB-MG530-N-A.jpg,619,1874
MB-MG530-N-B.jpg,708,1758
MB-MG530-S-B.jpg,639,1582
MB-MG530-W-A.jpg,633,1859
MB-MG530-W-B.jpg,493,1710
MB-SD004-E-A.jpg,661,1392
MB-SD004-E-B.jpg,697,1462
MB-SD004-N-A.jpg,637,1440
MB-SD004-N-B.jpg,614,1451
MB-SD004-S-A.jpg,711,1679
MB-SD004-S-B.jpg,644,1426
MB-SD004-W-A.jpg,653,1395
MB-SD004-W-B.jpg,637,1475
MB-SD005-N-B.jpg,649,1614
MB-SD005-S-B.jpg,647,1591
MN-MG788E-A.jpg,886,2814
MN-MG788N-B.jpg,1107,2644
MN-MG788S-A.jpg,1482,2954
MN-MG788S-B.jpg,955,2803
MN-MG788W-B.jpg,1006,2461
MN-MG789E-A.jpg,1246,2051
MN-MG789S-A.jpg,1237,2319
MN-MG789W-A.jpg,1048,2476
MN-MG790E-B.jpg,1194,2447
MN-MG790N-B.jpg,1321,1705
MN-MG790W-A.jpg,1083,1596
MN-MG790W-B.jpg,870,1685
MN-SD001-E-A.jpg,657,1691
MN-SD001-N-A.jpg,672,2020
MN-SD001-N-B.jpg,863,1756
MN-SD001-S-A.jpg,667,1672
MN-SD001-S-B.jpg,701,1656
MN-SD001-W-A.jpg,930,1758
MN-SD001-W-B.jpg,849,1771
MN-SD002-E-A.jpg,1068,2187
MN-SD002-E-B.jpg,1360,1598
MN-SD002-N-B.jpg,961,1596
MN-SD002-S-A.jpg,1131,2197
MN-SD002-W-A.jpg,618,1752
MN-SD002-W-B.jpg,678,1888
MN-SD003-S-A.jpg,989,2384
MO-MG402-E-A.jpg,817,2145
MO-MG402-E-B.jpg,534,2067
MO-MG402-N-B.jpg,711,2130
MO-MG402-W-A.jpg,725,1820
MO-MG403-E-B.jpg,683,2025
MO-MG403-N-B.jpg,951,2113
MO-MG403-S-A.jpg,929,2670
MO-MG403-W-A.jpg,840,1828
MO-MG403-W-B.jpg,670,1738
MO-MG404-N-A.jpg,720,1908
MO-MG404-N-B.jpg,649,1924
MO-MG404-S-A.jpg,611,1985
MO-MG404-S-B.jpg,700,1810
MO-MG404-W-A.jpg,689,2185
MO-MG404-W-B.jpg,535,1927
OH-MG799S-A.jpg,1387,2107
OH-MG805E-A.jpg,1097,2445
OH-MG805E-B.jpg,1454,2381
OH-MG805N-A.jpg,1673,3050
OH-MG805N-B.jpg,1127,2433
OH-MG805S-B.jpg,1164,2045
OH-MG805W-B.jpg,1028,1867
OK-MG282-E-B.jpg,826,1691
OK-MG282-N-B.jpg,532,1853
