filename,count,locations
IA-MG243-S-A.jpg,8,"[(1702, 900), (1481, 854), (1667, 881), (1503, 868), (1095, 819), (1091, 806), (530, 826), (636, 826)]"
IA-MG243-S-B.jpg,14,"[(1048, 600), (1339, 698), (1429, 719), (894, 546), (765, 482), (483, 318), (583, 372), (1404, 727), (1273, 693), (1137, 622), (727, 478), (593, 393), (944, 548), (451, 270)]"
IA-MG243-W-A.jpg,12,"[(1634, 894), (371, 714), (1529, 854), (499, 726), (982, 754), (1625, 876), (1338, 799), (1554, 849), (1434, 809), (561, 716), (409, 713), (1010, 751)]"
IA-MG244-N-A.jpg,13,"[(1202, 885), (1691, 989), (1671, 998), (1021, 822), (804, 748), (416, 645), (514, 656), (1779, 1028), (1482, 946), (1514, 941), (962, 789), (807, 740), (1168, 858)]"
IA-MG244-S-B.jpg,15,"[(1316, 903), (220, 645), (1935, 1017), (1636, 967), (577, 718), (323, 674), (806, 792), (1025, 837), (1871, 1015), (1663, 957), (1417, 907), (868, 790), (536, 722), (1083, 833), (354, 668)]"
IA-MG244-S-D.jpg,19,"[(260, 712), (495, 709), (1392, 824), (156, 705), (1596, 857), (1136, 774), (1648, 884), (1280, 786), (1755, 901), (878, 728), (649, 705), (322, 699), (1830, 938), (693, 724), (360, 709), (1097, 755), (909, 745), (168, 712), (464, 699)]"
IA-MG244-W-A.jpg,15,"[(1211, 864), (148, 391), (1751, 904), (1581, 912), (530, 560), (367, 464), (848, 718), (1041, 813), (1732, 921), (1534, 893), (1253, 890), (834, 725), (600, 579), (1055, 834), (252, 431)]"
IA-MG244-W-B.jpg,14,"[(1177, 1000), (1769, 1184), (1749, 1196), (990, 911), (818, 823), (634, 724), (597, 722), (1862, 1218), (1531, 1137), (1558, 1130), (1024, 911), (845, 823), (1179, 985), (407, 614)]"
IA-MG245-E-B.jpg,15,"[(1292, 927), (227, 725), (2095, 957), (1947, 945), (486, 788), (482, 798), (788, 861), (985, 896), (2074, 971), (1725, 955), (1673, 938), (985, 887), (756, 863), (1264, 910), (250, 744)]"
IA-MG245-S-B.jpg,14,"[(1679, 936), (1872, 962), (2035, 979), (1337, 902), (1137, 854), (621, 676), (864, 780), (2025, 991), (1915, 955), (1756, 932), (1190, 852), (921, 786), (1468, 903), (536, 648)]"
IA-MG245-W-A.jpg,17,"[(324, 692), (477, 735), (1387, 921), (290, 692), (432, 734), (1103, 879), (1550, 947), (1306, 919), (1610, 977), (901, 859), (714, 819), (1010, 879), (1657, 972), (816, 830), (1503, 955), (984, 864), (650, 793)]"
IA-MG245-W-B.jpg,13,"[(1162, 855), (1654, 968), (1633, 977), (925, 750), (769, 712), (386, 601), (481, 612), (1739, 1008), (1444, 920), (1475, 913), (987, 791), (774, 702), (1130, 825)]"
IL-MG603-E-B.jpg,14,"[(1119, 585), (1444, 564), (1549, 560), (955, 634), (764, 694), (680, 713), (622, 732), (1595, 574), (1340, 553), (1263, 565), (966, 618), (820, 665), (1140, 567), (530, 745)]"
IL-MG603-S-A.jpg,17,"[(407, 802), (622, 830), (2337, 957), (497, 827), (745, 862), (1912, 945), (2580, 957), (1952, 960), (2517, 945), (1345, 945), (887, 875), (1587, 952), (2767, 962), (1207, 920), (2277, 942), (1530, 932), (1060, 912)]"
IL-MG604-E-A.jpg,12,"[(2481, 996), (617, 852), (2264, 984), (1016, 919), (1219, 955), (2595, 1001), (1511, 1006), (2085, 992), (1733, 982), (1228, 948), (733, 856), (1472, 989)]"
IL-MG604-N-A.jpg,17,"[(409, 1067), (786, 1069), (1961, 1094), (328, 1076), (524, 1073), (1655, 1062), (2230, 1117), (1936, 1073), (2375, 1117), (1333, 1041), (1071, 1064), (1641, 1048), (2386, 1133), (1034, 1055), (2147, 1094), (1356, 1053), (717, 1060)]"
IL-MG604-N-B.jpg,15,"[(1332, 738), (212, 736), (1997, 808), (1969, 798), (373, 750), (343, 752), (750, 790), (1171, 740), (2088, 811), (1709, 774), (1669, 758), (851, 770), (510, 772), (1244, 722), (216, 742)]"
IL-MG604-S-A.jpg,18,"[(438, 651), (941, 821), (2210, 1007), (440, 640), (2253, 1000), (1916, 977), (2286, 1014), (2049, 977), (2409, 934), (1498, 929), (1230, 913), (667, 755), (2471, 849), (1214, 892), (649, 739), (1748, 947), (1560, 950), (924, 828)]"
IL-MG604-S-B.jpg,15,"[(1188, 581), (268, 633), (1727, 682), (1610, 667), (480, 625), (351, 628), (659, 607), (947, 568), (1750, 701), (1566, 644), (1254, 600), (703, 610), (488, 631), (936, 583), (368, 636)]"
IL-MG604-W-B.jpg,15,"[(1627, 924), (300, 840), (2474, 1001), (2508, 986), (487, 840), (506, 842), (811, 828), (1188, 871), (2616, 998), (2242, 981), (2122, 989), (1128, 881), (744, 830), (1531, 933), (285, 849)]"
IL-SF001-E-B.jpg,8,"[(1306, 770), (1186, 768), (1308, 755), (1188, 782), (964, 804), (950, 793), (692, 805), (731, 815)]"
IL-SF001-N-A.jpg,8,"[(1642, 846), (1429, 845), (1638, 862), (1441, 862), (1151, 852), (1159, 834), (807, 872), (743, 864)]"
IL-SF001-N-B.jpg,9,"[(1268, 673), (791, 733), (534, 740), (1214, 665), (1435, 657), (969, 697), (1409, 645), (1012, 707), (758, 722)]"
IL-SF001-S-A.jpg,6,"[(1243, 745), (697, 750), (1375, 717), (1280, 722), (954, 767), (925, 784)]"
IL-SF001-W-A.jpg,8,"[(1634, 730), (1377, 737), (1615, 748), (1359, 755), (1064, 770), (1100, 751), (857, 784), (848, 798)]"
IL-SF001-W-B.jpg,8,"[(1231, 771), (1024, 741), (1211, 783), (995, 749), (752, 714), (819, 708), (435, 698), (565, 683)]"
IL-SF002-E-B.jpg,9,"[(1254, 606), (518, 593), (560, 585), (1068, 615), (1391, 624), (858, 608), (1249, 620), (1034, 600), (827, 595)]"
IL-SF002-N-A.jpg,9,"[(1147, 603), (743, 584), (488, 600), (1155, 592), (1301, 637), (928, 564), (1327, 629), (905, 577), (720, 572)]"
IL-SF002-S-A.jpg,10,"[(1426, 608), (705, 635), (354, 687), (1230, 612), (1511, 616), (907, 627), (1417, 621), (1156, 631), (461, 680), (833, 645)]"
IL-SF002-W-B.jpg,7,"[(1416, 628), (1004, 559), (1414, 641), (1285, 625), (1078, 588), (1260, 608), (868, 559)]"
IL-SF003-E-A.jpg,7,"[(1580, 532), (566, 631), (1754, 517), (1532, 551), (1133, 600), (1177, 580), (582, 643)]"
IL-SF003-N-A.jpg,13,"[(1166, 597), (1415, 614), (1619, 611), (939, 602), (541, 610), (432, 553), (416, 556), (1594, 598), (1408, 598), (1191, 610), (735, 618), (556, 602), (936, 610)]"
IL-SF003-S-A.jpg,14,"[(1160, 712), (1440, 736), (1555, 720), (1008, 715), (825, 715), (458, 732), (657, 731), (1572, 734), (1418, 723), (1229, 726), (792, 707), (632, 725), (955, 701), (482, 740)]"
IL-SF003-W-A.jpg,17,"[(301, 767), (450, 786), (1385, 897), (286, 756), (418, 774), (1126, 866), (1635, 924), (1221, 890), (1772, 945), (781, 834), (628, 818), (966, 855), (1818, 933), (737, 818), (1564, 933), (917, 836), (561, 799)]"
IL-SF003-W-B.jpg,9,"[(1580, 904), (667, 653), (466, 607), (1460, 874), (1736, 921), (1204, 825), (1677, 898), (1303, 871), (1089, 809)]"
IN-MG631-E-A.jpg,16,"[(1581, 1069), (493, 872), (2164, 1099), (1489, 1034), (1963, 1113), (1042, 953), (847, 920), (545, 874), (1268, 994), (2169, 1113), (2013, 1099), (1720, 1075), (1233, 975), (981, 926), (670, 898), (762, 896)]"
