filename,count,locations
IA-MG244-N-A.jpg,19,"[(231, 593), (1259, 883), (1807, 1021), (177, 571), (1883, 1043), (1595, 961), (1865, 1053), (1578, 971), (1939, 1060), (1330, 910), (1286, 903), (598, 679), (1927, 1070), (1347, 903), (617, 696), (1372, 920), (1392, 912), (170, 578), (1293, 892)]"
IA-MG244-S-B.jpg,15,"[(1991, 1044), (173, 647), (2174, 1068), (2197, 1085), (1180, 856), (392, 691), (1434, 910), (1762, 976), (2255, 1083), (2098, 1066), (2065, 1046), (1444, 926), (1134, 860), (1729, 984), (237, 660)]"
IL-MG604-S-B.jpg,15,"[(1631, 659), (975, 583), (1868, 732), (1815, 719), (1314, 596), (1260, 589), (1371, 607), (1428, 617), (1853, 716), (1809, 705), (1666, 680), (1410, 625), (1327, 609), (1490, 641), (1037, 584)]"
MB-MG517-E-B.jpg,14,"[(1354, 675), (1631, 681), (1656, 695), (1125, 632), (838, 581), (404, 512), (492, 522), (1700, 698), (1551, 687), (1559, 678), (1050, 622), (661, 545), (1340, 664), (432, 524)]"
MO-MG404-N-A.jpg,20,"[(55, 614), (1828, 721), (1863, 706), (1597, 685), (1020, 653), (916, 662), (1881, 727), (401, 612), (54, 620), (1746, 713), (1777, 698), (202, 603), (1270, 676), (351, 620), (104, 604), (1897, 707), (1530, 696), (1345, 664), (88, 615), (563, 628)]"
MB-SD004-N-A.jpg,16,"[(1192, 636), (361, 615), (1414, 644), (1005, 645), (1370, 645), (545, 628), (481, 615), (346, 609), (980, 636), (1423, 633), (1373, 634), (1189, 647), (659, 625), (548, 622), (444, 614), (445, 620)]"
MB-SD004-W-A.jpg,17,"[(182, 572), (222, 578), (1027, 679), (202, 576), (215, 573), (963, 678), (1191, 686), (969, 690), (1351, 654), (308, 589), (265, 584), (601, 647), (1339, 668), (313, 584), (1036, 690), (544, 640), (261, 576)]"
IN-MG638-N-B.jpg,17,"[(562, 1022), (767, 963), (1823, 852), (497, 1033), (631, 1005), (1604, 837), (1970, 867), (1746, 861), (2023, 873), (1289, 850), (1201, 859), (1501, 848), (2027, 890), (1169, 876), (1936, 878), (1499, 835), (776, 971)]"
MB-MG516-W-A.jpg,17,"[(336, 739), (484, 749), (1585, 866), (395, 752), (345, 749), (1518, 872), (1647, 874), (1553, 864), (1668, 888), (1144, 825), (436, 757), (1407, 853), (1698, 891), (574, 757), (1598, 880), (1326, 855), (433, 750)]"
IL-SF003-E-A.jpg,24,"[(1826, 527), (1250, 568), (1596, 544), (882, 629), (889, 617), (1237, 582), (123, 668), (1873, 505), (1313, 560), (247, 666), (166, 663), (169, 672), (683, 643), (1731, 534), (1629, 529), (1972, 502), (369, 656), (403, 661), (1877, 522), (1386, 553), (1349, 566), (224, 675), (132, 660), (736, 631)]"
