filename,count,locations
IA-MG243-S-A.jpg,8,"[(1233, 901), (1456, 660), (732, 944), (1411, 1014), (1213, 741), (793, 695), (263, 936), (217, 769)]"
IA-MG243-S-B.jpg,14,"[(1143, 873), (250, 407), (666, 329), (524, 198), (698, 186), (342, 181), (367, 613), (1193, 535), (501, 815), (949, 742), (265, 274), (983, 341), (435, 127), (1352, 537)]"
IA-MG243-W-A.jpg,12,"[(1530, 716), (1452, 943), (571, 823), (1113, 812), (742, 643), (180, 842), (169, 595), (1391, 659), (118, 750), (1310, 897), (1231, 740), (255, 548)]"
IA-MG244-N-A.jpg,13,"[(472, 954), (139, 625), (925, 514), (1281, 976), (640, 1156), (227, 490), (1570, 802), (372, 743), (1639, 1138), (500, 509), (656, 371), (1462, 1091), (1327, 821)]"
IA-MG244-S-B.jpg,15,"[(218, 476), (167, 553), (1316, 1056), (144, 786), (121, 602), (1588, 1108), (105, 685), (1108, 652), (222, 903), (827, 1139), (330, 361), (1712, 823), (342, 1126), (1432, 711), (532, 262)]"
IA-MG244-S-D.jpg,19,"[(383, 358), (455, 1068), (87, 680), (601, 1132), (1442, 966), (272, 864), (1632, 703), (214, 820), (1586, 1009), (164, 780), (139, 603), (112, 741), (299, 934), (189, 557), (254, 474), (1338, 635), (580, 237), (901, 291), (1049, 995)]"
IA-MG244-W-A.jpg,15,"[(238, 893), (200, 346), (169, 518), (1329, 987), (980, 271), (87, 419), (1251, 669), (1513, 652), (699, 238), (530, 268), (275, 671), (108, 353), (457, 1079), (358, 285), (1562, 1110)]"
IA-MG244-W-B.jpg,14,"[(1565, 958), (850, 277), (516, 1164), (216, 464), (157, 638), (1290, 1140), (277, 987), (1592, 1319), (314, 388), (1336, 948), (466, 348), (147, 788), (648, 326), (1491, 1250)]"
IA-MG245-E-B.jpg,15,"[(498, 519), (1678, 772), (723, 1182), (1952, 737), (1802, 1102), (184, 599), (695, 461), (86, 685), (1376, 826), (107, 824), (112, 639), (344, 1076), (1467, 1013), (367, 573), (198, 934)]"
IA-MG245-S-B.jpg,14,"[(1470, 975), (1936, 820), (1646, 1080), (426, 464), (746, 1120), (1108, 598), (606, 515), (483, 725), (723, 892), (1847, 1097), (1538, 826), (1777, 788), (316, 585), (849, 564)]"
IA-MG245-W-A.jpg,18,"[(114, 701), (104, 798), (1419, 774), (1316, 1045), (140, 588), (638, 369), (1087, 955), (206, 900), (534, 1353), (785, 275), (469, 396), (1586, 803), (371, 1205), (251, 1035), (1476, 1097), (1182, 821), (343, 440), (248, 508)]"
IA-MG245-W-B.jpg,13,"[(1597, 1115), (630, 332), (466, 470), (897, 479), (1538, 779), (1238, 940), (109, 576), (602, 1118), (201, 442), (340, 697), (1415, 1059), (1292, 792), (437, 913)]"
IL-MG603-E-B.jpg,14,"[(534, 579), (1465, 634), (490, 671), (567, 887), (1091, 850), (1407, 462), (497, 824), (690, 920), (776, 393), (1138, 470), (456, 731), (1302, 688), (876, 915), (574, 492)]"
IL-MG603-S-A.jpg,17,"[(900, 332), (2627, 1135), (1992, 772), (442, 520), (2315, 760), (2375, 1177), (412, 1172), (320, 995), (355, 662), (607, 1360), (630, 377), (885, 1307), (1420, 1265), (282, 890), (285, 755), (2042, 1127), (1410, 622)]"
IL-MG604-E-A.jpg,12,"[(330, 613), (1738, 1071), (1071, 528), (634, 1347), (241, 842), (2327, 849), (1117, 424), (584, 1274), (1887, 914), (325, 1057), (2486, 861), (494, 475)]"
IL-MG604-N-A.jpg,17,"[(294, 887), (1184, 1483), (158, 1122), (443, 738), (501, 1469), (317, 1333), (2232, 1313), (2283, 862), (1655, 1326), (1579, 636), (678, 613), (1050, 567), (1970, 1306), (841, 1614), (1984, 742), (223, 1204), (186, 993)]"
IL-MG604-N-B.jpg,15,"[(275, 976), (140, 710), (323, 514), (140, 752), (154, 796), (1794, 952), (184, 855), (1762, 625), (1121, 913), (1445, 641), (815, 966), (891, 577), (1979, 653), (1455, 845), (154, 674)]"
IL-MG604-S-A.jpg,18,"[(2233, 1106), (706, 298), (617, 823), (530, 378), (498, 683), (2097, 796), (1572, 1126), (849, 1345), (2453, 883), (1973, 1186), (408, 424), (1735, 713), (2244, 1000), (197, 603), (1411, 488), (300, 456), (408, 1200), (989, 302)]"
IL-MG604-S-B.jpg,15,"[(254, 609), (1618, 553), (320, 503), (239, 641), (939, 736), (379, 771), (1421, 710), (276, 561), (1600, 781), (415, 426), (1369, 524), (532, 827), (288, 711), (864, 397), (260, 664)]"
IL-MG604-W-B.jpg,15,"[(192, 960), (1903, 849), (1092, 1061), (158, 897), (2222, 1135), (2254, 789), (2489, 1166), (482, 1130), (628, 566), (1241, 720), (1757, 1065), (252, 676), (244, 1046), (182, 765), (160, 816)]"
IL-SF001-E-B.jpg,8,"[(247, 987), (230, 680), (1105, 522), (421, 1286), (370, 434), (935, 702), (913, 967), (1176, 965)]"
IL-SF001-N-A.jpg,8,"[(693, 656), (1180, 931), (1422, 698), (330, 1135), (1165, 767), (665, 1137), (202, 810), (1439, 1037)]"
IL-SF001-N-B.jpg,9,"[(979, 617), (1243, 841), (358, 643), (1168, 512), (1030, 766), (267, 1040), (429, 383), (170, 851), (551, 1113)]"
IL-SF001-S-A.jpg,6,"[(1009, 795), (386, 314), (527, 822), (291, 561), (1278, 920), (1060, 722)]"
IL-SF001-W-A.jpg,8,"[(279, 603), (1435, 815), (1112, 685), (269, 960), (463, 330), (1408, 658), (385, 1289), (1014, 905)]"
IL-SF001-W-B.jpg,8,"[(125, 756), (220, 611), (1043, 642), (468, 188), (332, 430), (213, 921), (324, 1140), (943, 872)]"
IL-SF002-E-B.jpg,9,"[(1208, 761), (1050, 758), (291, 598), (213, 710), (787, 789), (373, 404), (703, 638), (1049, 455), (758, 397)]"
IL-SF002-N-A.jpg,9,"[(309, 603), (399, 520), (1181, 496), (916, 658), (429, 696), (1100, 715), (975, 486), (574, 785), (619, 433)]"
IL-SF002-S-A.jpg,10,"[(382, 577), (502, 803), (1382, 846), (88, 683), (581, 457), (1233, 501), (1056, 564), (170, 846), (1235, 699), (901, 721)]"
