filename,count,classes,locations
IA-MG243-S-A.jpg,3,"[0, 4, 3]","[(152, 933), (1919, 920), (2219, 905)]"
IA-MG243-S-B.jpg,3,"[0, 4, 3]","[(404, 143), (1625, 732), (1842, 710)]"
IA-MG243-W-A.jpg,3,"[0, 4, 3]","[(67, 657), (1754, 940), (1941, 1010)]"
IA-MG244-N-A.jpg,3,"[0, 4, 3]","[(94, 539), (1949, 1070), (2145, 1124)]"
IA-MG244-S-B.jpg,3,"[0, 4, 3]","[(78, 621), (2319, 1099), (2587, 1153)]"
IA-MG244-S-D.jpg,3,"[0, 4, 3]","[(70, 724), (2102, 1041), (2375, 1163)]"
IA-MG244-W-A.jpg,3,"[0, 4, 3]","[(51, 384), (2194, 933), (2538, 933)]"
IA-MG244-W-B.jpg,3,"[0, 4, 3]","[(132, 513), (2219, 1263), (2568, 1329)]"
IA-MG245-E-B.jpg,3,"[0, 4, 3]","[(35, 648), (2343, 1004), (2717, 1100)]"
IA-MG245-S-B.jpg,3,"[0, 4, 3]","[(270, 435), (2230, 1025), (2457, 1078)]"
IA-MG245-W-A.jpg,3,"[0, 4, 3]","[(67, 621), (1794, 1019), (1982, 1089)]"
IA-MG245-W-B.jpg,3,"[0, 4, 3]","[(65, 489), (1913, 1054), (2104, 1112)]"
IL-MG603-E-B.jpg,3,"[0, 4, 3]","[(427, 774), (1741, 593), (1783, 604)]"
IL-MG603-S-A.jpg,3,"[0, 4, 3]","[(230, 792), (2987, 957), (3240, 1027)]"
IL-MG604-E-A.jpg,3,"[0, 4, 3]","[(89, 700), (2860, 1028), (3138, 1083)]"
IL-MG604-N-A.jpg,3,"[0, 4, 3]","[(108, 1060), (2635, 1142), (2816, 1147)]"
IL-MG604-N-B.jpg,3,"[0, 4, 3]","[(123, 728), (2306, 841), (2541, 891)]"
IL-MG604-S-A.jpg,3,"[0, 4, 3]","[(201, 488), (2547, 706), (2715, 436)]"
IL-MG604-S-B.jpg,3,"[0, 4, 3]","[(211, 623), (1913, 732), (2030, 737)]"
IL-MG604-W-B.jpg,3,"[0, 4, 3]","[(136, 871), (2854, 986), (3115, 953)]"
IL-SF001-E-B.jpg,3,"[0, 4, 3]","[(82, 871), (1523, 738), (1837, 697)]"
IL-SF001-N-A.jpg,3,"[0, 4, 3]","[(103, 1061), (1894, 859), (2207, 840)]"
IL-SF001-N-B.jpg,3,"[0, 4, 3]","[(104, 698), (1653, 639), (1951, 625)]"
IL-SF001-S-A.jpg,3,"[0, 4, 3]","[(94, 682), (1526, 669), (1799, 582)]"
IL-SF001-W-A.jpg,3,"[0, 4, 3]","[(120, 772), (1876, 746), (2201, 753)]"
IL-SF001-W-B.jpg,3,"[0, 4, 3]","[(117, 670), (1595, 854), (1874, 883)]"
IL-SF002-E-B.jpg,3,"[0, 4, 3]","[(161, 631), (1583, 629), (1869, 664)]"
IL-SF002-N-A.jpg,3,"[0, 4, 3]","[(306, 642), (1567, 699), (1848, 778)]"
IL-SF002-S-A.jpg,3,"[0, 4, 3]","[(91, 743), (1695, 588), (1961, 523)]"
IL-SF002-W-B.jpg,3,"[0, 4, 3]","[(448, 562), (1591, 650), (1849, 646)]"
IL-SF003-E-A.jpg,3,"[0, 4, 3]","[(86, 663), (2012, 510), (2230, 512)]"
IL-SF003-N-A.jpg,3,"[0, 4, 3]","[(191, 461), (1895, 603), (2088, 608)]"
IL-SF003-S-A.jpg,3,"[0, 4, 3]","[(195, 753), (1750, 710), (1930, 664)]"
IL-SF003-W-A.jpg,3,"[0, 4, 3]","[(65, 707), (2026, 947), (2281, 968)]"
IL-SF003-W-B.jpg,3,"[0, 4, 3]","[(195, 531), (1943, 928), (2221, 888)]"
IN-MG631-E-A.jpg,3,"[0, 4, 3]","[(249, 773), (2412, 1086), (2874, 1060)]"
