filename,count,locations
MO-MG402-E-A.jpg,9,"[(1589, 1001), (85, 654), (125, 275), (442, 1163), (1141, 59), (1594, 391), (1159, 1099), (773, 0), (1764, 576)]"
IA-MG244-W-B.jpg,14,"[(1658, 796), (83, 678), (471, 179), (22, 872), (938, 81), (412, 1469), (329, 307), (164, 1179), (1526, 489), (1629, 1354), (1452, 1403), (1191, 1535), (221, 405), (683, 78)]"
IN-MG636-N-A.jpg,14,"[(896, 119), (283, 1075), (1989, 559), (1647, 334), (752, 1434), (614, 330), (377, 1202), (300, 671), (239, 819), (379, 503), (1953, 1158), (1115, 1454), (531, 1334), (1677, 1259)]"
MO-MG402-N-B.jpg,10,"[(1565, 905), (1841, 844), (1234, 1001), (678, 501), (1007, 1009), (786, 438), (644, 799), (1440, 486), (957, 359), (755, 895)]"
IL-SF003-E-A.jpg,7,"[(1547, 273), (186, 390), (1255, 161), (1157, 1074), (239, 953), (453, 132), (573, 1181)]"
IL-SF001-N-A.jpg,8,"[(1076, 1358), (342, 1272), (1455, 468), (1460, 1187), (399, 271), (178, 591), (577, 1529), (978, 328)]"
IL-SF003-N-A.jpg,13,"[(1445, 315), (381, 228), (421, 1224), (1449, 869), (681, 112), (1142, 156), (164, 999), (72, 651), (1166, 1012), (87, 811), (239, 297), (511, 218), (773, 1307)]"
MB-MG518-N-B.jpg,4,"[(1036, 36), (1129, 866), (498, 196), (613, 838)]"
MB-MG516-W-A.jpg,8,"[(796, 444), (1182, 552), (507, 493), (399, 949), (1245, 1239), (542, 1109), (1402, 596), (784, 1133)]"
MN-SD001-N-B.jpg,11,"[(618, 161), (934, 285), (183, 567), (520, 1445), (140, 903), (422, 1144), (873, 1430), (394, 963), (1274, 1129), (222, 1124), (325, 381)]"
MB-MG530-W-B.jpg,12,"[(541, 75), (813, 970), (1193, 253), (1384, 348), (345, 720), (194, 390), (256, 615), (1256, 827), (264, 292), (552, 884), (780, 58), (1449, 718)]"
MB-SD005-S-B.jpg,12,"[(1146, 418), (250, 466), (212, 696), (342, 361), (855, 924), (910, 308), (1258, 456), (1097, 852), (474, 311), (621, 279), (582, 972), (370, 934)]"
MN-MG788W-B.jpg,14,"[(1770, 532), (1967, 1258), (1692, 1349), (205, 1037), (408, 1486), (670, 1761), (527, 1615), (2005, 685), (1211, 1513), (661, 266), (351, 530), (1008, 1843), (277, 776), (1204, 189)]"
