,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
IA-MG243-S-A.jpg,541,1494,401,1246,1201,1126,953,220,90.0,605.0,1098.0,1365.0,679.0,189.0,1246.0,443.0,,,,,,,,,,,,,,,,,,,,,,
IA-MG243-S-B.jpg,996,1145,393,1266,169,286,114,968,313.0,189.0,968.0,470.0,101.0,451.0,494.0,1397.0,93.0,692.0,152.0,579.0,690.0,258.0,972.0,850.0,514.0,171.0,273.0,609.0,,,,,,,,,,
IA-MG243-W-A.jpg,539,172,988,1453,903,158,1111,236,801.0,87.0,574.0,1425.0,1298.0,954.0,396.0,1231.0,1058.0,1286.0,703.0,1556.0,479.0,227.0,92.0,617.0,,,,,,,,,,,,,,
IA-MG244-N-A.jpg,1123,389,118,1025,908,220,418,569,249.0,767.0,548.0,1426.0,1409.0,593.0,1175.0,1642.0,733.0,1637.0,681.0,101.0,1224.0,1502.0,445.0,229.0,1252.0,1222.0,,,,,,,,,,,,
IA-MG244-S-B.jpg,390,204,1448,808,193,377,507,175,713.0,1791.0,1246.0,1347.0,643.0,1518.0,1203.0,1652.0,1033.0,183.0,716.0,94.0,850.0,150.0,342.0,1279.0,1297.0,284.0,47.0,637.0,579.0,125.0,,,,,,,,
IA-MG244-S-D.jpg,1220,483,95,595,508,191,672,1684,909.0,251.0,751.0,110.0,58.0,1182.0,426.0,1501.0,864.0,216.0,655.0,83.0,809.0,160.0,568.0,139.0,1334.0,691.0,1032.0,256.0,1057.0,1594.0,391.0,231.0,1036.0,1465.0,1242.0,1057.0,218.0,370.0
IA-MG244-W-A.jpg,586,110,56,718,282,1355,77,1133,183.0,367.0,242.0,188.0,1029.0,110.0,344.0,110.0,1343.0,332.0,570.0,1574.0,464.0,70.0,801.0,113.0,1390.0,1399.0,1223.0,1642.0,179.0,563.0,,,,,,,,
IA-MG244-W-B.jpg,678,83,78,683,872,22,179,471,81.0,938.0,1179.0,164.0,307.0,329.0,489.0,1526.0,405.0,221.0,1403.0,1452.0,1354.0,1629.0,1535.0,1191.0,1469.0,412.0,796.0,1658.0,,,,,,,,,,
IA-MG245-E-B.jpg,311,456,458,369,517,201,337,1591,1519.0,774.0,1280.0,243.0,138.0,814.0,1118.0,1814.0,706.0,74.0,606.0,95.0,690.0,1985.0,1596.0,1369.0,1004.0,149.0,468.0,1802.0,849.0,79.0,,,,,,,,
IA-MG245-S-B.jpg,534,1574,602,291,790,1955,394,435,869.0,299.0,149.0,989.0,1154.0,1842.0,1142.0,488.0,1254.0,1328.0,1343.0,581.0,712.0,1804.0,303.0,619.0,1224.0,1688.0,181.0,852.0,,,,,,,,,,
IA-MG245-W-A.jpg,1203,1348,519,129,1371,345,61,885,1356.0,1048.0,679.0,1519.0,346.0,350.0,190.0,622.0,437.0,229.0,742.0,67.0,269.0,479.0,477.0,1329.0,1156.0,1497.0,997.0,137.0,845.0,59.0,1176.0,158.0,764.0,1621.0,,,,
IA-MG245-W-B.jpg,859,185,710,1605,85,1005,1370,548,1223.0,1180.0,522.0,1398.0,211.0,743.0,1199.0,1462.0,632.0,68.0,1077.0,348.0,1153.0,1601.0,357.0,530.0,398.0,201.0,,,,,,,,,,,,
IL-MG603-E-B.jpg,381,1226,734,1339,258,825,704,449,1010.0,936.0,943.0,585.0,657.0,1504.0,423.0,1479.0,418.0,565.0,985.0,725.0,618.0,470.0,541.0,550.0,862.0,500.0,915.0,1166.0,,,,,,,,,,
IL-MG603-S-A.jpg,675,2380,1500,2080,1250,2425,1160,2660,575.0,2097.0,710.0,282.0,1062.0,305.0,165.0,1452.0,457.0,502.0,602.0,347.0,1770.0,1322.0,122.0,1137.0,1285.0,385.0,1547.0,632.0,1752.0,837.0,212.0,655.0,945.0,277.0,,,,
IL-MG604-E-A.jpg,296,504,1581,560,538,330,1327,598,782.0,2356.0,929.0,195.0,123.0,1170.0,1202.0,263.0,463.0,1050.0,572.0,1979.0,1477.0,1624.0,852.0,2512.0,,,,,,,,,,,,,,
IL-MG604-N-A.jpg,648,2101,1697,1234,958,186,809,285,1283.0,232.0,443.0,1726.0,305.0,1050.0,846.0,2340.0,1460.0,1697.0,1589.0,533.0,1421.0,324.0,1699.0,800.0,1428.0,1996.0,1161.0,160.0,450.0,678.0,607.0,441.0,1345.0,2288.0,,,,
IL-MG604-N-B.jpg,1334,1054,627,2021,500,1800,325,1475,1038.0,262.0,1040.0,1816.0,101.0,933.0,1050.0,1401.0,887.0,172.0,817.0,144.0,978.0,1226.0,766.0,133.0,700.0,142.0,647.0,150.0,430.0,315.0,,,,,,,,
