,0,1
IA-MG243-S-A.jpg,905,2219
IA-MG243-S-B.jpg,710,1842
IA-MG243-W-A.jpg,1010,1941
IA-MG244-N-A.jpg,1124,2145
IA-MG244-S-B.jpg,1153,2587
IA-MG244-S-D.jpg,1163,2375
IA-MG244-W-A.jpg,933,2538
IA-MG244-W-B.jpg,1329,2568
IA-MG245-E-B.jpg,1100,2717
IA-MG245-S-B.jpg,1078,2457
IA-MG245-W-A.jpg,1089,1982
IA-MG245-W-B.jpg,1112,2104
IL-MG603-E-B.jpg,604,1783
IL-MG603-S-A.jpg,1027,3240
IL-MG604-E-A.jpg,1083,3138
IL-MG604-N-A.jpg,1147,2816
IL-MG604-N-B.jpg,891,2541
IL-MG604-S-A.jpg,436,2715
IL-MG604-S-B.jpg,737,2030
IL-MG604-W-B.jpg,953,3115
IL-SF001-E-B.jpg,697,1837
IL-SF001-N-A.jpg,840,2207
IL-SF001-N-B.jpg,625,1951
IL-SF001-S-A.jpg,582,1799
IL-SF001-W-A.jpg,753,2201
IL-SF001-W-B.jpg,883,1874
IL-SF002-E-B.jpg,664,1869
IL-SF002-N-A.jpg,778,1848
IL-SF002-S-A.jpg,523,1961
IL-SF002-W-B.jpg,646,1849
IL-SF003-E-A.jpg,512,2230
IL-SF003-N-A.jpg,608,2088
IL-SF003-S-A.jpg,664,1930
IL-SF003-W-A.jpg,968,2281
IL-SF003-W-B.jpg,888,2221
IN-MG631-E-A.jpg,1060,2874
IN-MG631-E-B.jpg,756,2536
IN-MG631-N-A.jpg,1396,3315
IN-MG631-S-A.jpg,842,3066
IN-MG631-S-B.jpg,836,2785
IN-MG636-E-A.jpg,1047,2785
IN-MG636-E-B.jpg,655,2445
IN-MG636-N-A.jpg,880,2655
IN-MG636-N-B.jpg,855,2370
IN-MG636-S-A.jpg,708,2845
IN-MG636-S-B.jpg,1076,2765
IN-MG638-E-A.jpg,1230,2584
IN-MG638-E-B.jpg,801,2385
IN-MG638-N-A.jpg,688,2167
IN-MG638-N-B.jpg,973,2376
IN-MG638-S-A.jpg,999,2562
IN-MG638-S-B.jpg,1055,2213
IN-MG638-W-B.jpg,1029,2507
MB-MG513-E-B.jpg,711,1811
MB-MG513-N-B.jpg,866,1573
MB-MG513-S-B.jpg,892,1939
MB-MG513-W-A.jpg,641,2031
MB-MG513-W-B.jpg,702,2050
MB-MG516-E-A.jpg,595,1596
MB-MG516-E-B.jpg,625,1656
MB-MG516-S-A.jpg,733,1812
MB-MG516-S-B.jpg,595,1634
MB-MG516-W-A.jpg,901,1817
MB-MG517-E-A.jpg,389,1866
MB-MG517-E-B.jpg,690,1808
MB-MG517-N-B.jpg,624,1694
MB-MG517-S-A.jpg,569,1955
MB-MG517-S-B.jpg,533,1809
MB-MG517-W-B.jpg,461,1735
MB-MG518-N-A.jpg,666,1953
MB-MG518-N-B.jpg,366,2018
MB-MG518-S-A.jpg,486,1852
MB-MG518-S-B.jpg,610,1598
MB-MG518-W-B.jpg,335,1670
MB-MG528-E-A.jpg,911,2391
MB-MG528-E-B.jpg,578,1945
MB-MG528-S-A.jpg,756,1763
MB-MG528-S-B.jpg,824,1915
MB-MG528-W-A.jpg,757,2183
MB-MG529-E-A.jpg,818,2057
MB-MG529-E-B.jpg,838,1773
MB-MG529-N-A.jpg,756,2013
MB-MG529-S-B.jpg,924,2080
MB-MG529-W-A.jpg,548,1986
