,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
IA-MG245-W-B.jpg,1118,602,940,1238,332,630,1115,1597,479.0,897.0,792.0,1292.0,576.0,109.0,442.0,201.0,470.0,466.0,913.0,437.0,1059.0,1415.0,697.0,340.0,779.0,1538.0,,,,,,,,,,,,
MB-MG529-W-B.jpg,159,453,929,383,832,260,341,247,425.0,990.0,486.0,87.0,605.0,63.0,729.0,177.0,746.0,905.0,662.0,136.0,418.0,1320.0,816.0,1203.0,260.0,308.0,425.0,151.0,,,,,,,,,,
MB-MG513-W-B.jpg,813,287,482,176,737,1225,531,1212,333.0,795.0,311.0,250.0,710.0,938.0,501.0,1405.0,674.0,183.0,188.0,412.0,839.0,533.0,,,,,,,,,,,,,,,,
MO-MG403-N-B.jpg,791,1737,383,472,1231,532,1288,800,737.0,68.0,1080.0,287.0,960.0,1423.0,818.0,1427.0,630.0,147.0,538.0,272.0,1010.0,1720.0,451.0,872.0,910.0,162.0,,,,,,,,,,,,
MB-MG516-S-A.jpg,854,1047,489,420,391,1200,909,893,341.0,736.0,807.0,590.0,801.0,1427.0,862.0,724.0,421.0,660.0,897.0,1111.0,425.0,480.0,724.0,471.0,630.0,434.0,279.0,923.0,488.0,1412.0,,,,,,,,
MO-MG402-N-B.jpg,471,765,807,1811,761,634,540,663,647.0,1447.0,849.0,980.0,855.0,728.0,1003.0,1170.0,776.0,1557.0,463.0,949.0,,,,,,,,,,,,,,,,,,
IN-MG636-S-A.jpg,304,602,1003,1683,1005,213,308,371,1228.0,576.0,453.0,179.0,636.0,1549.0,673.0,1187.0,800.0,107.0,947.0,1362.0,,,,,,,,,,,,,,,,,,
MN-SD002-W-B.jpg,1011,452,410,289,773,252,903,1528,835.0,1344.0,470.0,175.0,473.0,1413.0,278.0,436.0,621.0,126.0,905.0,297.0,760.0,1090.0,698.0,159.0,527.0,140.0,537.0,1175.0,221.0,631.0,,,,,,,,
MN-MG790E-B.jpg,853,272,1026,1514,1305,414,1024,2184,1534.0,842.0,877.0,866.0,1343.0,708.0,1091.0,224.0,602.0,987.0,1123.0,1486.0,991.0,1992.0,1281.0,1985.0,1181.0,1840.0,1270.0,2167.0,1166.0,289.0,,,,,,,,
OH-MG799S-A.jpg,968,354,1591,1740,563,1077,1045,1793,886.0,416.0,648.0,694.0,1100.0,618.0,1327.0,1323.0,1480.0,1591.0,1283.0,760.0,983.0,1527.0,722.0,554.0,,,,,,,,,,,,,,
