,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
IA-MG245-W-B.jpg,1118,602,940,1238,332,630,1115,1597,479,897,792,1292,576,109,442,201,470,466,913,437,1059,1415,697,340,779,1538,1,1,1,1,1,1,1,1,1,1,1,1
MB-MG529-W-B.jpg,159,453,929,383,832,260,341,247,425,990,486,87,605,63,729,177,746,905,662,136,418,1320,816,1203,260,308,425,151,1,1,1,1,1,1,1,1,1,1
MB-MG513-W-B.jpg,813,287,482,176,737,1225,531,1212,333,795,311,250,710,938,501,1405,674,183,188,412,839,533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MO-MG403-N-B.jpg,791,1737,383,472,1231,532,1288,800,737,68,1080,287,960,1423,818,1427,630,147,538,272,1010,1720,451,872,910,162,1,1,1,1,1,1,1,1,1,1,1,1
MB-MG516-S-A.jpg,854,1047,489,420,391,1200,909,893,341,736,807,590,801,1427,862,724,421,660,897,1111,425,480,724,471,630,434,279,923,488,1412,1,1,1,1,1,1,1,1
MO-MG402-N-B.jpg,471,765,807,1811,761,634,540,663,647,1447,849,980,855,728,1003,1170,776,1557,463,949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IN-MG636-S-A.jpg,304,602,1003,1683,1005,213,308,371,1228,576,453,179,636,1549,673,1187,800,107,947,1362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MN-SD002-W-B.jpg,1011,452,410,289,773,252,903,1528,835,1344,470,175,473,1413,278,436,621,126,905,297,760,1090,698,159,527,140,537,1175,221,631,1,1,1,1,1,1,1,1
MN-MG790E-B.jpg,853,272,1026,1514,1305,414,1024,2184,1534,842,877,866,1343,708,1091,224,602,987,1123,1486,991,1992,1281,1985,1181,1840,1270,2167,1166,289,1,1,1,1,1,1,1,1
OH-MG799S-A.jpg,968,354,1591,1740,563,1077,1045,1793,886,416,648,694,1100,618,1327,1323,1480,1591,1283,760,983,1527,722,554,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MB-MG528-S-A.jpg,737,100,386,889,904,730,492,1141,901,187,318,154,115,439,852,1007,182,265,607,22,1063,349,407,118,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MB-SD004-S-A.jpg,634,1361,494,589,785,1030,676,1180,611,881,718,570,812,1322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
