filename,count,locations
MO-MG404-N-A.jpg,10,"[(449, 85), (1301, 219), (1475, 973), (755, 32), (1118, 1108), (1577, 410), (320, 1107), (503, 1195), (38, 718), (265, 203)]"
IL-SF003-E-A.jpg,7,"[(1157, 1074), (573, 1181), (453, 132), (239, 953), (1255, 161), (186, 390), (1547, 273)]"
MB-SD004-E-B.jpg,8,"[(322, 631), (392, 849), (344, 505), (1135, 514), (832, 929), (1136, 885), (877, 435), (494, 332)]"
IL-SF001-E-B.jpg,8,"[(444, 1466), (173, 512), (1210, 1006), (982, 338), (1021, 1365), (340, 209), (209, 1168), (1188, 448)]"
MN-SD001-S-A.jpg,8,"[(1020, 305), (269, 1037), (164, 467), (336, 249), (624, 171), (647, 1239), (975, 1010), (137, 856)]"
MO-MG402-N-B.jpg,10,"[(1007, 1009), (678, 501), (755, 895), (957, 359), (786, 438), (644, 799), (1234, 1001), (1841, 844), (1440, 486), (1565, 905)]"
MB-SD005-S-B.jpg,12,"[(910, 308), (212, 696), (1146, 418), (582, 972), (342, 361), (1097, 852), (855, 924), (474, 311), (250, 466), (1258, 456), (370, 934), (621, 279)]"
MB-SD004-S-A.jpg,9,"[(988, 946), (430, 470), (1133, 542), (1345, 893), (458, 913), (904, 406), (1390, 556), (608, 385), (341, 736)]"
IL-SF003-W-A.jpg,17,"[(93, 987), (36, 857), (1480, 410), (1635, 1170), (183, 1251), (806, 68), (1267, 1461), (656, 220), (130, 591), (123, 1105), (260, 417), (193, 519), (341, 1422), (572, 1693), (1174, 153), (383, 267), (1748, 640)]"
MB-SD005-N-B.jpg,10,"[(1126, 393), (434, 963), (842, 887), (288, 311), (176, 614), (518, 171), (217, 424), (269, 778), (817, 234), (1096, 836)]"
MO-MG404-W-A.jpg,9,"[(1885, 427), (535, 1050), (1010, 1176), (1109, 106), (1793, 884), (66, 357), (1566, 285), (1450, 1050), (496, 77)]"
MN-SD002-E-B.jpg,12,"[(1038, 955), (903, 1655), (1310, 1129), (583, 888), (176, 1191), (276, 1025), (252, 1454), (395, 968), (195, 1068), (1192, 1594), (206, 1278), (382, 1694)]"
MB-MG529-S-B.jpg,15,"[(1532, 1081), (29, 737), (143, 1019), (1087, 1198), (1251, 225), (196, 304), (541, 1294), (75, 886), (1367, 1122), (377, 150), (1566, 528), (296, 1164), (52, 545), (94, 417), (666, 26)]"
OH-MG805E-A.jpg,12,"[(1472, 377), (1902, 492), (1396, 697), (193, 922), (697, 335), (331, 1189), (414, 1511), (349, 519), (1642, 1617), (1086, 1847), (1348, 1320), (2047, 1541)]"
IA-MG245-E-B.jpg,15,"[(774, 1519), (149, 1004), (243, 1280), (79, 849), (1591, 337), (201, 517), (74, 706), (95, 606), (1802, 468), (814, 138), (369, 458), (1814, 1118), (456, 311), (1369, 1596), (1985, 690)]"
IL-MG603-N-A.jpg,11,"[(596, 316), (2273, 681), (1845, 2109), (1681, 134), (2566, 1061), (1576, 620), (419, 2048), (2154, 1663), (2468, 1581), (2653, 1602), (1327, 311)]"
MO-MG404-N-B.jpg,12,"[(131, 398), (1447, 392), (1639, 457), (1234, 1280), (1620, 959), (613, 29), (287, 208), (1455, 1028), (616, 1117), (89, 975), (263, 1185), (1182, 273)]"
MN-MG790W-B.jpg,12,"[(887, 1215), (1512, 554), (496, 894), (1531, 917), (1398, 995), (642, 1146), (885, 118), (691, 300), (564, 485), (1401, 483), (1120, 1147), (1587, 704)]"
OH-MG805W-B.jpg,14,"[(1646, 792), (238, 446), (1472, 1345), (175, 632), (343, 379), (388, 1071), (338, 1329), (1463, 656), (1606, 1226), (1003, 1334), (902, 139), (217, 785), (548, 235), (1235, 545)]"
MB-MG513-W-A.jpg,8,"[(1342, 948), (343, 1259), (1135, 329), (1075, 1139), (1345, 446), (542, 135), (111, 899), (231, 388)]"
MO-MG403-E-B.jpg,8,"[(189, 1246), (1386, 1007), (1237, 286), (495, 205), (124, 646), (740, 1503), (1670, 940), (1520, 506)]"
MN-MG788S-A.jpg,12,"[(1726, 181), (289, 842), (1790, 1898), (368, 1570), (282, 1434), (2291, 837), (690, 1976), (441, 574), (567, 337), (186, 1056), (1527, 2188), (519, 1719)]"
MB-MG530-W-B.jpg,12,"[(541, 75), (1193, 253), (780, 58), (552, 884), (1449, 718), (1256, 827), (256, 615), (264, 292), (1384, 348), (194, 390), (345, 720), (813, 970)]"
IN-MG631-E-B.jpg,14,"[(113, 932), (516, 1278), (1463, 1248), (177, 622), (1704, 1018), (288, 485), (375, 1157), (281, 1067), (1226, 109), (86, 789), (676, 263), (181, 1030), (1700, 406), (837, 1377)]"
IA-MG243-S-A.jpg,8,"[(605, 90), (443, 1246), (1494, 541), (189, 679), (1126, 1201), (220, 953), (1246, 401), (1365, 1098)]"
MB-SD004-W-A.jpg,10,"[(916, 335), (230, 640), (1121, 877), (410, 316), (870, 957), (1099, 497), (397, 999), (230, 773), (570, 237), (255, 452)]"
IL-SF001-W-A.jpg,8,"[(160, 1190), (397, 1466), (527, 117), (862, 1468), (1387, 1212), (1425, 354), (233, 438), (895, 177)]"
IL-MG604-N-B.jpg,15,"[(150, 647), (933, 101), (1800, 500), (262, 1038), (1816, 1040), (315, 430), (1475, 325), (1401, 1050), (1054, 1334), (142, 700), (172, 887), (2021, 627), (144, 817), (1226, 978), (133, 766)]"
