,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
IA-MG243-S-A.jpg,806,1091,819,1095,900,1702,854,1481,881,1667,826,636,868,1503,826.0,530.0,,,,,,,,,,,,,,,,,,
IA-MG245-E-B.jpg,957,2095,896,985,788,486,945,1947,861,788,744,250,887,985,938.0,1673.0,798.0,482.0,955.0,1725.0,910.0,1264.0,863.0,756.0,725.0,227.0,927.0,1292.0,971.0,2074.0,,,,
IA-MG245-S-B.jpg,903,1468,936,1679,902,1337,852,1190,676,621,979,2035,955,1915,780.0,864.0,786.0,921.0,854.0,1137.0,962.0,1872.0,932.0,1756.0,991.0,2025.0,648.0,536.0,,,,,,
IA-MG245-W-A.jpg,819,714,864,984,972,1657,921,1387,734,432,977,1610,793,650,692.0,324.0,692.0,290.0,879.0,1103.0,859.0,901.0,955.0,1503.0,919.0,1306.0,735.0,477.0,830.0,816.0,879.0,1010.0,947.0,1550.0
IL-MG603-N-A.jpg,1425,2806,1388,2637,1251,1982,1106,1222,1227,1681,1180,1544,1375,2661,1288.0,2117.0,1346.0,2455.0,1314.0,2360.0,1116.0,1267.0,,,,,,,,,,,,
IL-MG604-N-B.jpg,790,750,808,1997,758,1669,811,2088,738,1332,736,212,770,851,752.0,343.0,722.0,1244.0,798.0,1969.0,774.0,1709.0,772.0,510.0,750.0,373.0,742.0,216.0,740.0,1171.0,,,,
IL-SF001-E-B.jpg,804,964,755,1308,793,950,782,1188,815,731,768,1186,770,1306,805.0,692.0,,,,,,,,,,,,,,,,,,
IL-SF001-W-A.jpg,784,857,748,1615,770,1064,798,848,755,1359,751,1100,730,1634,737.0,1377.0,,,,,,,,,,,,,,,,,,
IL-SF003-E-A.jpg,580,1177,532,1580,551,1532,517,1754,643,582,600,1133,631,566,,,,,,,,,,,,,,,,,,,,
IL-SF003-W-A.jpg,924,1635,786,450,866,1126,756,286,774,418,767,301,890,1221,834.0,781.0,933.0,1564.0,855.0,966.0,836.0,917.0,897.0,1385.0,945.0,1772.0,933.0,1818.0,818.0,628.0,818.0,737.0,799.0,561.0
IN-MG631-E-B.jpg,781,1925,830,296,814,751,768,1714,780,1714,776,1276,793,962,803.0,764.0,791.0,1144.0,781.0,959.0,770.0,1943.0,785.0,1365.0,839.0,346.0,843.0,550.0,,,,,,
MB-MG513-W-A.jpg,678,1273,695,1230,667,1484,675,670,691,969,705,939,679,1465,684.0,619.0,,,,,,,,,,,,,,,,,,
MB-MG529-S-B.jpg,835,1636,858,1708,791,1370,702,697,835,1592,688,470,728,876,751.0,1076.0,706.0,677.0,675.0,136.0,747.0,1121.0,685.0,488.0,723.0,903.0,671.0,289.0,791.0,1422.0,,,,
MB-MG529-W-B.jpg,559,444,588,986,557,194,552,233,694,1457,568,598,637,1277,579.0,752.0,690.0,1480.0,639.0,1232.0,595.0,940.0,565.0,380.0,572.0,553.0,571.0,778.0,,,,,,
